Country,Bulan,Revenue_Member,Revenue_Guest
Australia,1/10/20,81.6,0
Australia,1/11/20,462.5,0
Australia,1/14/20,177.0,0
Australia,1/17/20,431.3,0
Australia,1/19/20,238.5,0
Australia,1/20/20,87.75,0
Australia,1/28/20,384.68,0
Australia,1/6/201,7154.38,0
Australia,10/5/20,16471.77,0
Australia,10/6/20,678.76,0
Australia,11/15/2,5355.4,0
Australia,11/2/20,450.24,0
Australia,11/24/2,286.4,0
Australia,11/3/20,375.24,0
Australia,11/4/20,338.71,0
Australia,12/1/20,358.25,0
Australia,12/14/2,-27.75,0
Australia,12/17/2,415.7,0
Australia,12/8/20,258.9,0
Australia,2/15/20,14022.92,0
Australia,2/27/20,412.55,0
Australia,2/7/201,192.0,0
Australia,3/24/20,286.25,0
Australia,3/3/201,16558.14,0
Australia,3/9/201,210.9,0
Australia,4/1/201,350.0,0
Australia,4/28/20,-425.0,0
Australia,4/4/201,-13.2,0
Australia,4/8/201,421.6,0
Australia,5/12/20,475.16,0
Australia,5/17/20,11924.8,0
Australia,5/20/20,766.36,0
Australia,5/23/20,472.09,0
Australia,5/31/20,-9.9,0
Australia,6/15/20,23426.81,0
Australia,6/2/201,-23.0,0
Australia,6/30/20,1760.96,0
Australia,7/13/20,2796.36,0
Australia,7/14/20,902.09,0
Australia,7/19/20,483.02,0
Australia,7/24/20,505.46,0
Australia,7/26/20,80.64,0
Australia,8/12/20,608.76,0
Australia,8/18/20,21880.44,0
Australia,9/1/201,2941.72,0
Australia,9/16/20,519.89,0
Australia,9/25/20,825.92,0
Australia,9/28/20,596.5,0
Australia,9/5/201,147.7,0
Austria,10/18/2,1043.78,0
Austria,11/13/2,586.85,0
Austria,11/14/2,742.93,0
Austria,12/15/2,-20.16,0
Austria,12/17/2,277.2,0
Austria,12/8/20,683.2,0
Austria,2/1/201,364.6,0
Austria,2/2/201,153.76,0
Austria,3/23/20,1542.08,0
Austria,3/3/201,166.04,0
Austria,4/26/20,680.78,0
Austria,5/23/20,1083.58,0
Austria,5/6/201,165.85,0
